id,latitude,longitude,timestamp,sma,smi,tilt,category
den-01,39.7392,-104.9903,2024-01-02T10:00:00Z,28000,9000,24,alpha
den-02,39.8620,-104.6737,2024-01-14T14:20:00Z,15000,5000,75,alpha
sf-01,37.7749,-122.4194,2024-02-11T08:45:00Z,42000,12000,41,beta
sf-02,37.6213,-122.3790,2024-02-18T17:15:00Z,18000,7000,132,beta
dc-01,38.9072,-77.0369,2024-03-03T12:30:00Z,33000,11000,12,gamma
dc-02,38.8512,-77.0402,2024-03-28T20:10:00Z,12000,4500,89,gamma
par-01,48.8566,2.3522,2024-04-09T06:00:00Z,52000,14000,63,delta
par-02,49.0097,2.5479,2024-04-22T09:40:00Z,19000,6000,147,delta
tok-01,35.6762,139.6503,2024-05-06T03:25:00Z,47000,16000,38,epsilon
tok-02,35.5494,139.7798,2024-05-27T16:50:00Z,21000,8000,111,epsilon
syd-01,-33.8688,151.2093,2024-06-12T02:05:00Z,36000,9500,54,zeta
syd-02,-33.9399,151.1753,2024-06-29T22:35:00Z,16000,5200,159,zeta
